"order" "species" "adult_body_mass_g" "adult_head_body_len_mm" "home_range_km2" "litter_size"
"Rodentia" "Microtus xanthognathus" 92.65 156.36 0.001022511 8.1
"Rodentia" "Millardia gleadowi" NA NA NA 2.3
"Rodentia" "Millardia kathleenae" NA NA NA NA
"Rodentia" "Millardia kondana" NA NA NA NA
"Rodentia" "Millardia meltada" 67.17 NA 0.000926123 5.72
"Chiroptera" "Mimetillus moloneyi" 8.89 NA NA 0.98
"Chiroptera" "Mimon bennettii" 12.9 NA NA NA
"Chiroptera" "Mimon cozumelae" NA NA NA 0.98
"Chiroptera" "Mimon crenulatum" 13.91 NA NA 0.99
"Chiroptera" "Mimon koepckeae" NA NA NA NA
"Chiroptera" "Miniopterus africanus" NA NA NA NA
"Chiroptera" "Miniopterus australis" 7.4 NA NA 0.99
"Chiroptera" "Miniopterus fraterculus" 7.38 NA NA 1
"Chiroptera" "Miniopterus fuscus" NA NA NA NA
"Chiroptera" "Miniopterus gleni" NA NA NA NA
"Chiroptera" "Miniopterus inflatus" 14.9 NA NA 0.99
"Chiroptera" "Miniopterus macrocneme" 7.53 NA NA 1
"Chiroptera" "Miniopterus magnater" 14.14 NA NA NA
"Chiroptera" "Miniopterus majori" NA NA NA NA
"Chiroptera" "Miniopterus manavi" NA NA NA NA
"Chiroptera" "Miniopterus medius" 11.4 NA NA 1
"Chiroptera" "Miniopterus minor" NA NA NA NA
"Chiroptera" "Miniopterus natalensis" 10.43 NA NA 1
"Chiroptera" "Miniopterus paululus" NA NA NA NA
"Chiroptera" "Miniopterus pusillus" 8.95 NA NA NA
"Chiroptera" "Miniopterus robustior" NA NA NA NA
"Chiroptera" "Miniopterus schreibersii" 11.46 NA NA 0.99
"Chiroptera" "Miniopterus shortridgei" NA NA NA NA
"Chiroptera" "Miniopterus tristis" 15.17 NA NA NA
"Primates" "Miopithecus ogouensis" NA NA NA NA
"Artiodactyla" "Muntiacus feae" 21999.99 NA NA 1.22
"Artiodactyla" "Muntiacus gongshanensis" 18590.01 NA NA NA
"Artiodactyla" "Muntiacus muntjak" 17611.59 994.99 NA 1
"Artiodactyla" "Muntiacus puhoatensis" NA NA NA NA
"Artiodactyla" "Muntiacus putaoensis" NA NA NA NA
"Artiodactyla" "Muntiacus reevesi" 13499.94 NA 0.12 0.98
"Artiodactyla" "Muntiacus rooseveltorum" 10762.64 NA NA 1
"Artiodactyla" "Muntiacus truongsonensis" NA NA NA NA
"Artiodactyla" "Muntiacus vuquangensis" 36690.82 NA NA NA
"Dasyuromorphia" "Murexechinus melanurus" 38.02 108.11 NA 3.49
"Dasyuromorphia" "Murexia longicaudata" 126.79 180.43 NA NA
"Rodentia" "Necromys punctulatus" 37.3 NA NA NA
"Rodentia" "Necromys temchuki" 47.2 NA NA NA
"Rodentia" "Necromys urichi" 44.84 NA NA 5.18
"Soricomorpha" "Nectogale elegans" 38.82 109 NA NA
"Rodentia" "Nectomys apicalis" NA NA NA NA
"Rodentia" "Nectomys magdalenae" NA NA NA NA
"Rodentia" "Nectomys palmipes" NA NA NA NA
"Rodentia" "Nectomys rattus" 248.8 NA NA NA
"Rodentia" "Nectomys squamipes" 184.98 182.42 0.00155313 4.5
"Rodentia" "Muriculus imberbis" 18.5 NA NA NA
"Chiroptera" "Murina aenea" 7.5 NA NA NA
"Chiroptera" "Murina aurata" NA NA NA NA
"Chiroptera" "Murina cyclotis" 9.35 NA NA 1.98
"Chiroptera" "Murina florium" 4.41 NA NA NA
"Chiroptera" "Murina fusca" NA NA NA NA
"Chiroptera" "Murina grisea" NA NA NA NA
"Chiroptera" "Murina hilgendorfi" NA NA NA NA
"Chiroptera" "Murina huttoni" 7.56 NA NA NA
"Chiroptera" "Murina leucogaster" 7.54 NA NA NA
"Chiroptera" "Murina puta" NA NA NA NA
"Chiroptera" "Murina rozendaali" NA NA NA NA
"Chiroptera" "Murina ryukyuana" NA NA NA NA
"Chiroptera" "Murina silvatica" NA NA NA NA
"Chiroptera" "Murina suilla" 4 NA NA NA
"Chiroptera" "Murina tenebrosa" NA NA NA NA
"Cetacea" "Mesoplodon layardii" 1500000 NA NA NA
"Cetacea" "Mesoplodon mirus" 2099999.99 5179.99 NA 0.97
"Cetacea" "Mesoplodon perrini" NA NA NA NA
"Cetacea" "Mesoplodon peruvianus" NA 3719.99 NA NA
"Cetacea" "Mesoplodon stejnegeri" 4800000.02 6090 NA NA
"Cetacea" "Mesoplodon traversii" NA NA NA NA
"Didelphimorphia" "Metachirus nudicaudatus" 363.77 260.69 NA 3.87
"Rodentia" "Micaelamys granti" 40 NA NA NA
"Rodentia" "Micaelamys namaquensis" 57.1 NA NA 3.49
"Didelphimorphia" "Micoureus alstoni" 132.3 192.5 NA NA
"Didelphimorphia" "Micoureus constantiae" 92.69 161.7 NA 8
"Didelphimorphia" "Micoureus demerarae" 102.28 168.6 NA 6.29
"Didelphimorphia" "Micoureus paraguayanus" 112.43 168.6 NA 5.56
"Didelphimorphia" "Micoureus phaeus" NA 137 NA NA
"Didelphimorphia" "Micoureus regina" 118.6 230 NA NA
"Rodentia" "Microakodontomys transitorius" NA NA NA NA
"Rodentia" "Microcavia australis" 261.49 200 0.002938105 2.48
"Rodentia" "Microcavia niata" 254.67 NA NA 3.16
"Rodentia" "Microcavia shiptoni" 185 NA NA 3.16
"Primates" "Microcebus berthae" 33.45 NA NA NA
"Primates" "Microcebus griseorufus" 70.24 NA NA NA
"Primates" "Microcebus murinus" 69 143.61 0.01 2
"Primates" "Microcebus myoxinus" 31.23 141.42 NA 2
"Primates" "Microcebus ravelobensis" 58.6 NA NA NA
"Primates" "Microcebus rufus" 48.39 143.61 0.01 2.52
"Primates" "Microcebus sambiranensis" 49.06 NA NA NA
"Primates" "Microcebus tavaratra" 68.01 NA NA NA
"Rodentia" "Microdillus peeli" NA 67.99 NA NA
"Rodentia" "Microdipodops megacephalus" 12.3 72.99 0.004385806 3.94
"Rodentia" "Microdipodops pallidus" 13.36 75 NA 3.89
"Afrosoricida" "Microgale brevicaudata" 8.99 NA NA 4.5
"Afrosoricida" "Microgale cowani" 12.27 59.99 NA NA
"Afrosoricida" "Microgale dobsoni" 36.66 NA NA 2.66
"Afrosoricida" "Microgale drouhardi" 10.5 73.49 NA NA
"Afrosoricida" "Microgale dryas" 40 NA NA NA
"Afrosoricida" "Microgale fotsifotsy" 7.7 72.45 NA NA
"Afrosoricida" "Microgale gracilis" 23.3 NA NA NA
"Afrosoricida" "Microgale gymnorhyncha" 18.2 NA NA NA
"Afrosoricida" "Microgale longicaudata" 8.08 NA NA NA
"Afrosoricida" "Microgale monticola" 13.9 NA NA NA
"Afrosoricida" "Microgale nasoloi" NA NA NA NA
"Afrosoricida" "Microgale parvula" 3.53 56.8 NA NA
"Afrosoricida" "Microgale principula" 10.2 NA NA NA
"Afrosoricida" "Microgale pusilla" 3.4 52 NA NA
"Afrosoricida" "Microgale soricoides" 18.7 NA NA NA
"Afrosoricida" "Microgale taiva" 12.4 NA NA NA
"Afrosoricida" "Microgale talazaci" 43.07 150 NA 2.23
"Afrosoricida" "Microgale thomasi" 22.9 NA NA NA
"Rodentia" "Microhydromys musseri" NA 106.14 NA NA
"Rodentia" "Microhydromys richardsoni" 10.25 81.57 NA NA
"Dasyuromorphia" "Micromurexia habbema" NA 110.07 NA NA
"Rodentia" "Micromys minutus" 6.99 59 NA 4.92
"Chiroptera" "Micronycteris brosseti" NA NA NA NA
"Chiroptera" "Micronycteris hirsuta" 12.89 NA NA 0.99
"Chiroptera" "Micronycteris homezi" NA NA NA NA
"Chiroptera" "Micronycteris matses" NA NA NA NA
"Chiroptera" "Micronycteris megalotis" 6.4 NA NA 0.98
"Chiroptera" "Micronycteris microtis" NA NA NA NA
"Chiroptera" "Micronycteris minuta" 6.9 NA NA 0.99
"Chiroptera" "Micronycteris sanborni" NA NA NA NA
"Chiroptera" "Micronycteris schmidtorum" 7.73 NA NA NA
"Peramelemorphia" "Microperoryctes longicauda" 542.07 267.33 NA 1.03
"Peramelemorphia" "Microperoryctes murina" NA 200 NA NA
"Peramelemorphia" "Microperoryctes papuensis" 158 192.94 NA 1.01
"Afrosoricida" "Micropotamogale lamottei" 69.59 160 NA 3.86
"Afrosoricida" "Micropotamogale ruwenzorii" 109.13 160 NA 1.86
"Chiroptera" "Micropteropus intermedius" NA NA NA NA
"Chiroptera" "Micropteropus pusillus" 25.38 76.38 NA 0.99
"Rodentia" "Microryzomys altissimus" 13.49 NA NA NA
"Rodentia" "Microryzomys minutus" 13.49 NA NA NA
"Rodentia" "Microsciurus alfari" 87.49 NA NA NA
"Rodentia" "Microsciurus flaviventer" 92 NA NA NA
"Rodentia" "Microsciurus mimulus" 120 NA NA NA
"Rodentia" "Microsciurus santanderensis" 99.79 NA NA NA
"Rodentia" "Microtus abbreviatus" 66.06 NA NA 3
"Rodentia" "Microtus agrestis" 35.87 NA 0.000683908 4.65
"Rodentia" "Microtus anatolicus" NA NA NA NA
"Rodentia" "Microtus arvalis" 26.9 113.66 0.000531047 4.99
"Rodentia" "Microtus bavaricus" NA 98 NA NA
"Rodentia" "Microtus brachycercus" NA NA NA NA
"Rodentia" "Microtus breweri" NA 126.88 NA 4.5
"Rodentia" "Microtus cabrerae" 52.5 NA NA NA
"Rodentia" "Microtus californicus" 57.42 138.8 6.67285e-05 4.41
"Rodentia" "Microtus canicaudus" 29.93 110.89 8.42627e-05 4.62
"Rodentia" "Microtus chrotorrhinus" 38.99 107.5 NA 3.58
"Rodentia" "Microtus clarkei" NA NA NA NA
"Rodentia" "Microtus daghestanicus" NA NA NA NA
"Rodentia" "Microtus dogramacii" NA NA NA NA
"Chiroptera" "Myotis rosseti" 3.29 NA NA NA
"Chiroptera" "Myotis ruber" 4.99 NA NA NA
"Chiroptera" "Myotis schaubi" NA NA NA NA
"Chiroptera" "Myotis scotti" NA NA NA NA
"Chiroptera" "Myotis septentrionalis" NA NA NA NA
"Chiroptera" "Myotis sicarius" NA NA NA NA
"Chiroptera" "Myotis siligorensis" 2.93 NA NA 0.98
"Chiroptera" "Myotis simus" NA NA NA 0.98
"Chiroptera" "Myotis sodalis" 7.15 47.43 NA 0.99
"Chiroptera" "Myotis stalkeri" NA NA NA NA
"Chiroptera" "Myotis thysanodes" 8.49 52.39 NA 0.99
"Chiroptera" "Myotis tricolor" 13.67 NA NA 0.99
"Chiroptera" "Myotis velifer" 9.82 NA NA 0.99
"Chiroptera" "Myotis vivesi" 25.63 NA NA 0.99
"Chiroptera" "Myotis volans" 8.71 NA NA 0.99
"Chiroptera" "Myotis welwitschii" 15.88 NA NA NA
"Chiroptera" "Myotis yanbarensis" NA NA NA NA
"Chiroptera" "Myotis yesoensis" NA NA NA NA
"Chiroptera" "Myotis yumanensis" 5.15 NA NA 0.99
"Rodentia" "Myotomys sloggetti" 106.25 NA NA 1.44
"Rodentia" "Myotomys unisulcatus" 102.5 152.84 NA 1.42
"Dasyuromorphia" "Myrmecobius fasciatus" 511.44 230 0.24 3.68
"Pilosa" "Myrmecophaga tridactyla" 29531.83 1124.72 4 1
"Rodentia" "Mysateles garridoi" NA NA NA NA
"Rodentia" "Mysateles meridionalis" NA NA NA NA
"Rodentia" "Mysateles prehensilis" NA NA NA 2
"Chiroptera" "Mystacina robusta" 27.41 NA NA NA
"Chiroptera" "Mystacina tuberculata" 13.14 NA NA 0.99
"Rodentia" "Mystromys albicaudatus" 86.85 NA NA 3
"Chiroptera" "Myzopoda aurita" 9.1 58 NA NA
"Artiodactyla" "Naemorhedus baileyi" 28863.45 1040 NA 1.5
"Artiodactyla" "Naemorhedus caudatus" 26999.99 NA NA NA
"Artiodactyla" "Naemorhedus goral" 28796.51 1060 NA 1
"Artiodactyla" "Naemorhedus griseus" NA NA NA NA
"Carnivora" "Nandinia binotata" 2167.2 498.51 0.55 1.84
"Rodentia" "Microtus duodecimcostatus" 22.71 NA NA 2.51
"Rodentia" "Microtus evoronensis" NA NA NA NA
"Rodentia" "Microtus felteni" NA NA NA NA
"Rodentia" "Microtus fortis" NA NA NA 5.34
"Rodentia" "Microtus gerbei" NA NA NA NA
"Rodentia" "Microtus gregalis" NA NA NA 8.48
"Rodentia" "Microtus guatemalensis" 41.99 NA NA NA
"Rodentia" "Microtus guentheri" 49.99 NA NA 6.14
"Rodentia" "Microtus ilaeus" NA NA NA NA
"Rodentia" "Microtus irani" NA NA NA NA
"Rodentia" "Microtus kikuchii" 46.3 123.86 NA 1.97
"Rodentia" "Microtus levis" 35.49 NA NA NA
"Rodentia" "Microtus liechtensteini" NA NA NA NA
"Rodentia" "Microtus limnophilus" NA NA NA NA
"Rodentia" "Microtus longicaudus" 44.8 119.41 NA 4.73
"Chiroptera" "Murina tubinaris" 5.45 NA NA 1.37
"Chiroptera" "Murina ussuriensis" NA NA NA NA
"Rodentia" "Mus baoulei" NA NA NA NA
"Rodentia" "Mus booduga" 13.78 NA 0.000967874 5.96
"Rodentia" "Mus bufo" 8.88 NA NA NA
"Rodentia" "Mus callewaerti" NA NA NA NA
"Rodentia" "Mus caroli" 14.26 NA NA NA
"Rodentia" "Mus cervicolor" NA NA NA 4.4
"Rodentia" "Mus cookii" NA NA NA NA
"Rodentia" "Mus crociduroides" NA NA NA NA
"Rodentia" "Mus famulus" NA NA NA NA
"Rodentia" "Mus fernandoni" NA NA NA NA
"Rodentia" "Mus fragilicauda" NA NA NA NA
"Rodentia" "Mus goundae" NA NA NA NA
"Rodentia" "Mus haussa" NA NA NA NA
"Rodentia" "Mus indutus" 6.15 NA NA 4.76
"Rodentia" "Mus macedonicus" NA NA NA NA
"Rodentia" "Mus mahomet" 10 NA NA NA
"Rodentia" "Mus mattheyi" NA NA NA NA
"Rodentia" "Mus mayori" NA NA NA 2.95
"Rodentia" "Mus minutoides" 6.43 NA NA 4.18
"Rodentia" "Mus musculoides" 8.23 61.67 NA 3.49
"Rodentia" "Mus musculus" 19.3 NA 0.0005162 5.54
"Rodentia" "Mus neavei" NA NA NA NA
"Rodentia" "Mus orangiae" NA NA NA NA
"Rodentia" "Mus oubanguii" NA NA NA NA
"Rodentia" "Mus pahari" NA NA NA NA
"Rodentia" "Mus phillipsi" NA NA NA NA
"Rodentia" "Mus platythrix" 29.08 NA NA 6.93
"Rodentia" "Mus saxicola" NA NA NA NA
"Rodentia" "Mus setulosus" 11.18 NA NA 3.92
"Rodentia" "Mus setzeri" 6.65 NA NA NA
"Rodentia" "Mus shortridgei" NA NA NA NA
"Rodentia" "Mus sorella" NA NA NA NA
"Rodentia" "Mus spicilegus" NA 74.87 0.000185212 6.69
"Rodentia" "Mus spretus" 16.67 NA 0.000203629 5.15
"Rodentia" "Mus tenellus" NA NA NA 1.94
"Rodentia" "Mus terricolor" NA NA NA NA
"Rodentia" "Mus triton" 12.62 NA NA 4.4
"Rodentia" "Mus vulcani" NA NA NA NA
"Rodentia" "Muscardinus avellanarius" 29.19 76.37 0.003271485 4.3
"Chiroptera" "Musonycteris harrisoni" NA NA NA NA
"Carnivora" "Mustela africana" 536.98 309.07 NA NA
"Carnivora" "Mustela altaica" 180.24 243.52 NA 5.44
"Carnivora" "Mustela erminea" 284.5 215.65 0.11 6.74
"Carnivora" "Mustela eversmanii" 1684.21 432.95 NA 7.82
"Carnivora" "Mustela felipei" 211.3 214.8 NA NA
"Carnivora" "Mustela frenata" 190.03 229.31 0.21 6.5
"Carnivora" "Mustela itatsi" NA NA NA NA
"Carnivora" "Mustela kathiah" 263.74 259.13 NA NA
"Carnivora" "Mustela lutreola" 566.44 360.77 0.17 4.5
"Carnivora" "Mustela lutreolina" 466.25 308.08 NA NA
"Carnivora" "Mustela nigripes" 907.1 395.94 0.83 3.36
"Carnivora" "Mustela nivalis" 78.45 188.18 0.07 5.07
"Carnivora" "Mustela nudipes" 569.42 325.9 NA 4
"Carnivora" "Mustela putorius" 975.55 358.92 0.53 8.48
"Carnivora" "Mustela sibirica" 530.85 305.96 3.41 6.48
"Carnivora" "Mustela strigidorsa" 1500 286.46 NA NA
"Carnivora" "Mustela subpalmata" NA NA NA NA
"Carnivora" "Mydaus javanensis" 2500 441.18 NA NA
"Carnivora" "Mydaus marchei" 2500 389.59 NA NA
"Rodentia" "Mylomys dybowskii" 110.96 NA NA 4.04
"Rodentia" "Mylomys rex" NA NA NA NA
"Rodentia" "Myocastor coypus" 6361.55 519.44 0.02 5.34
"Rodentia" "Myodes andersoni" NA NA NA NA
"Rodentia" "Myodes californicus" 18.3 98.67 0.001246353 3.1
"Rodentia" "Myodes centralis" NA NA NA 4.83
"Rodentia" "Myodes gapperi" 19.83 101.13 0.000463061 5.37
"Rodentia" "Myodes glareolus" 20.73 106.38 0.000951778 4.31
"Rodentia" "Myodes imaizumii" NA NA NA NA
"Rodentia" "Myodes regulus" NA NA NA NA
"Rodentia" "Myodes rex" NA NA NA NA
"Rodentia" "Myodes rufocanus" 36.43 NA NA 5.01
"Rodentia" "Myodes rutilus" 19.94 109.07 NA 5.6
"Rodentia" "Myodes shanseius" NA NA NA NA
"Rodentia" "Myodes smithii" 34.94 NA NA 4.1
"Dasyuromorphia" "Myoictis melas" 221.77 190.92 NA NA
"Dasyuromorphia" "Myoictis wallacii" NA NA NA NA
"Rodentia" "Myomimus personatus" NA NA NA NA
"Rodentia" "Myomimus roachi" NA NA NA NA
"Rodentia" "Myomimus setzeri" NA NA NA NA
"Rodentia" "Myomyscus angolensis" NA NA NA NA
"Rodentia" "Myomyscus brockmani" NA NA NA NA
"Rodentia" "Myomyscus verreauxii" 41 NA NA NA
"Rodentia" "Myomyscus yemeni" NA NA NA NA
"Chiroptera" "Myonycteris brachycephala" NA NA NA NA
"Chiroptera" "Myonycteris relicta" 53.32 NA NA NA
"Chiroptera" "Myonycteris torquata" 44.92 99.4 NA 1
"Rodentia" "Myoprocta acouchy" 954.87 362.91 0.008591924 1.97
"Rodentia" "Myoprocta pratti" 966.73 NA NA 1.77
"Chiroptera" "Myopterus daubentonii" NA NA NA NA
"Chiroptera" "Myopterus whitleyi" 11.55 NA NA NA
"Rodentia" "Myopus schisticolor" 29.99 NA 0.000766498 5.25
"Rodentia" "Myosciurus pumilio" 16.44 69.5 NA 1.97
"Soricomorpha" "Myosorex babaulti" NA NA NA 2.99
"Soricomorpha" "Myosorex blarina" NA NA NA NA
"Soricomorpha" "Myosorex cafer" 12.3 NA NA 2.99
"Soricomorpha" "Myosorex eisentrauti" NA NA NA NA
"Soricomorpha" "Myosorex geata" 9.34 NA NA 4
"Soricomorpha" "Myosorex kihaulei" NA NA NA NA
"Soricomorpha" "Myosorex longicaudatus" NA NA NA NA
"Soricomorpha" "Myosorex okuensis" NA NA NA NA
"Soricomorpha" "Myosorex rumpii" NA NA NA NA
"Soricomorpha" "Myosorex schalleri" NA NA NA NA
"Soricomorpha" "Myosorex sclateri" NA NA NA NA
"Soricomorpha" "Myosorex tenuis" NA NA NA NA
"Soricomorpha" "Myosorex varius" 11.68 NA NA 2.9
"Soricomorpha" "Myosorex zinki" NA NA NA NA
"Rodentia" "Myospalax aspalax" NA NA NA NA
"Rodentia" "Myospalax myospalax" 225 NA NA 4.5
"Rodentia" "Myospalax psilurus" 259.21 NA NA 3.11
"Chiroptera" "Myotis abei" NA NA NA NA
"Chiroptera" "Myotis adversus" 10.41 NA NA 1
"Chiroptera" "Myotis aelleni" NA NA NA NA
"Chiroptera" "Myotis albescens" 5.69 NA NA 0.98
"Chiroptera" "Myotis alcathoe" NA NA NA NA
"Chiroptera" "Myotis altarium" 11 NA NA NA
"Chiroptera" "Myotis anjouanensis" NA NA NA NA
"Chiroptera" "Myotis annamiticus" NA NA NA NA
"Chiroptera" "Myotis annectans" 9.75 NA NA NA
"Chiroptera" "Myotis atacamensis" NA NA NA NA
"Chiroptera" "Myotis ater" NA NA NA NA
"Chiroptera" "Myotis auriculus" 38.04 NA NA 1
"Chiroptera" "Myotis australis" NA NA NA NA
"Chiroptera" "Myotis austroriparius" 7.35 NA NA 1.88
"Chiroptera" "Myotis bechsteinii" 9.47 NA NA 1
"Chiroptera" "Myotis blythii" 23.82 NA NA 0.98
"Chiroptera" "Myotis bocagii" 7.93 NA NA 0.99
"Chiroptera" "Myotis bombinus" NA NA NA NA
"Chiroptera" "Myotis brandtii" 5.3 NA NA NA
"Chiroptera" "Myotis bucharensis" NA NA NA NA
"Chiroptera" "Myotis californicus" 4.39 NA NA 0.99
"Chiroptera" "Myotis capaccinii" 8.15 NA NA 0.99
"Chiroptera" "Myotis chiloensis" NA NA NA 0.98
"Chiroptera" "Myotis chinensis" 41.99 NA NA NA
"Chiroptera" "Myotis ciliolabrum" 4.89 NA NA NA
"Chiroptera" "Myotis cobanensis" NA NA NA NA
"Chiroptera" "Myotis csorbai" NA NA NA NA
"Chiroptera" "Myotis dasycneme" 15.16 NA NA 1
"Chiroptera" "Myotis daubentonii" 7.63 44.4 NA 1.21
"Chiroptera" "Myotis davidii" NA NA NA NA
"Chiroptera" "Myotis dominicensis" NA NA NA NA
"Chiroptera" "Myotis elegans" 4.21 NA NA 0.98
"Chiroptera" "Myotis emarginatus" 7.56 NA NA 0.99
"Chiroptera" "Myotis evotis" 6.91 NA NA 0.98
"Chiroptera" "Myotis fimbriatus" NA NA NA NA
"Chiroptera" "Myotis findleyi" NA NA NA NA
"Chiroptera" "Myotis formosus" 7.07 NA NA NA
"Chiroptera" "Myotis fortidens" 4.37 NA NA 0.98
"Chiroptera" "Myotis frater" 7.54 NA NA 1
"Chiroptera" "Myotis gomantongensis" NA NA NA NA
"Chiroptera" "Myotis goudoti" 5.56 95 NA NA
"Chiroptera" "Myotis grisescens" 10.84 NA NA 0.99
"Chiroptera" "Myotis hajastanicus" NA NA NA NA
"Chiroptera" "Myotis hasseltii" 8.7 NA NA 0.99
"Chiroptera" "Myotis hermani" NA NA NA NA
"Chiroptera" "Myotis horsfieldii" 6.05 NA NA NA
"Chiroptera" "Myotis hosonoi" NA NA NA NA
"Chiroptera" "Myotis ikonnikovi" NA NA NA NA
"Chiroptera" "Myotis insularum" NA NA NA NA
"Chiroptera" "Myotis keaysi" 5.45 NA NA 0.98
"Chiroptera" "Myotis keenii" 6.51 NA NA 0.99
"Chiroptera" "Myotis laniger" NA NA NA NA
"Chiroptera" "Myotis leibii" 5.22 NA NA 0.99
"Chiroptera" "Myotis levis" 5.49 NA NA NA
"Chiroptera" "Myotis longipes" NA NA NA NA
"Chiroptera" "Myotis lucifugus" 7.8 52.7 NA 1
"Chiroptera" "Myotis macrodactylus" 7.48 NA NA 1
"Chiroptera" "Myotis macropus" NA NA NA NA
"Chiroptera" "Myotis macrotarsus" 12.64 NA NA NA
"Chiroptera" "Myotis martiniquensis" NA NA NA NA
"Chiroptera" "Myotis melanorhinus" NA NA NA NA
"Chiroptera" "Myotis moluccarum" NA NA NA NA
"Chiroptera" "Myotis montivagus" 8.3 NA NA NA
"Chiroptera" "Myotis morrisi" NA NA NA NA
"Chiroptera" "Myotis muricola" 4.8 NA NA 1
"Chiroptera" "Myotis myotis" 25.59 72 NA 1.5
"Chiroptera" "Myotis mystacinus" NA NA NA NA
"Chiroptera" "Myotis nattereri" 7.25 NA NA 0.99
"Chiroptera" "Myotis nesopolus" 3.56 NA NA NA
"Chiroptera" "Myotis nigricans" NA NA NA NA
"Chiroptera" "Myotis nipalensis" NA NA NA NA
"Chiroptera" "Myotis occultus" 8.79 NA NA NA
"Chiroptera" "Myotis oreias" NA NA NA NA
"Chiroptera" "Myotis oxygnathus" 21.23 NA NA NA
"Chiroptera" "Myotis oxyotus" 5.65 NA NA 0.98
"Chiroptera" "Myotis ozensis" NA NA NA NA
"Chiroptera" "Myotis peninsularis" NA NA NA NA
"Chiroptera" "Myotis pequinius" NA NA NA NA
"Chiroptera" "Myotis planiceps" NA NA NA NA
"Chiroptera" "Myotis pruinosus" NA NA NA NA
"Chiroptera" "Myotis punicus" NA NA NA NA
"Chiroptera" "Myotis ricketti" NA NA NA NA
"Chiroptera" "Myotis ridleyi" 4.06 NA NA NA
"Chiroptera" "Myotis riparius" 4.57 NA NA 0.98
"Artiodactyla" "Nanger dama" 71424.81 1462.78 NA 1
"Artiodactyla" "Nanger granti" 55464.46 1529.99 NA 1
"Artiodactyla" "Nanger soemmerringii" 41582.93 1360 NA 1
"Rodentia" "Nannosciurus melanotis" NA 95 NA NA
"Chiroptera" "Nanonycteris veldkampii" 21.89 NA NA 0.98
"Rodentia" "Napaeozapus insignis" 22.25 89.73 0.01 4.5
"Primates" "Nasalis larvatus" 12265.65 647.49 1.4 1.02
"Carnivora" "Nasua narica" 4578.43 549.58 0.78 4
"Carnivora" "Nasua nasua" 3775.5 527.63 0.79 3.69
"Carnivora" "Nasuella olivacea" 1339.99 387.34 NA NA
"Chiroptera" "Natalus jamaicensis" NA NA NA NA
"Chiroptera" "Natalus major" NA NA NA NA
"Chiroptera" "Natalus primus" NA NA NA NA
"Chiroptera" "Natalus stramineus" 5.68 NA NA 0.99
"Chiroptera" "Natalus tumidirostris" 6.3 NA NA NA
"Rodentia" "Neacomys dubosti" NA NA NA NA
"Rodentia" "Neacomys guianae" 15.87 NA NA NA
"Rodentia" "Neacomys minutus" NA NA NA NA
"Rodentia" "Neacomys musseri" NA NA NA NA
"Rodentia" "Neacomys paracou" NA NA NA NA
"Rodentia" "Neacomys pictus" NA NA NA NA
"Rodentia" "Neacomys spinosus" 19 NA NA NA
"Rodentia" "Neacomys tenuipes" 19 NA NA 3.94
"Afrosoricida" "Neamblysomus gunningi" NA 123.77 NA NA
"Afrosoricida" "Neamblysomus julianae" 21.99 100.84 NA 0.96
"Rodentia" "Necromys amoenus" 27.09 NA NA NA
"Rodentia" "Necromys benefactus" NA NA NA NA
"Rodentia" "Necromys lactens" 32.9 NA NA NA
"Rodentia" "Necromys lasiurus" 39.93 144.99 NA 4.5
"Rodentia" "Necromys lenguarum" NA NA NA NA
"Rodentia" "Necromys obscurus" 40.69 NA NA 4.86
"Rodentia" "Nelsonia goldmani" NA NA NA NA
"Rodentia" "Nelsonia neotomodon" 80 NA NA NA
"Rodentia" "Neodon forresti" NA NA NA NA
"Rodentia" "Neodon irene" NA NA NA NA
"Rodentia" "Neodon juldaschi" NA NA NA 3.52
"Rodentia" "Neodon sikimensis" NA NA NA 2.25
"Carnivora" "Neofelis nebulosa" 14945.05 836.74 NA 2.25
"Rodentia" "Neofiber alleni" 265.38 199.49 3.79558e-05 2.33
"Erinaceomorpha" "Neohylomys hainanensis" 52.21 134.99 NA NA
"Soricomorpha" "Neomys anomalus" 13.19 75.99 NA 7.1
"Soricomorpha" "Neomys fodiens" 15.26 81.94 0.000156744 6.39
"Soricomorpha" "Neomys teres" NA 86.94 NA NA
"Chiroptera" "Neonycteris pusilla" NA NA NA NA
"Dasyuromorphia" "Neophascogale lorentzi" 212 195.77 NA NA
"Carnivora" "Neophoca cinerea" 189274.99 1798.13 NA 1.35
"Cetacea" "Neophocaena phocaenoides" 32500 NA NA 0.97
"Chiroptera" "Neopteryx frosti" NA NA NA 0.98
"Chiroptera" "Neoromicia brunneus" NA NA NA NA
"Chiroptera" "Neoromicia capensis" 5.96 NA NA 1.96
"Chiroptera" "Neoromicia flavescens" 10.5 NA NA NA
"Chiroptera" "Neoromicia guineensis" NA NA NA NA
"Chiroptera" "Neoromicia helios" 3.56 NA NA NA
"Chiroptera" "Neoromicia melckorum" NA NA NA 1.98
"Chiroptera" "Neoromicia nanus" 3.88 NA NA 1.86
"Chiroptera" "Neoromicia rendalli" 6.42 NA NA NA
"Chiroptera" "Neoromicia somalicus" 3.53 84.99 NA 2
"Chiroptera" "Neoromicia tenuipinnis" 5.35 37 NA NA
"Chiroptera" "Neoromicia zuluensis" 4.14 NA NA NA
"Erinaceomorpha" "Neotetracus sinensis" NA 117.96 NA 4.28
