"order" "species" "adult_body_mass_g" "adult_head_body_len_mm" "home_range_km2" "litter_size"
"Chiroptera" "Balionycteris maculata" 14.43 NA NA 1
"Rodentia" "Bandicota bengalensis" 226.99 NA NA 7.29
"Rodentia" "Bandicota indica" 583.09 NA NA 6.12
"Artiodactyla" "Cephalophus niger" 19094.32 1041.8 NA 1
"Artiodactyla" "Cephalophus nigrifrons" 14676.33 944.21 NA NA
"Artiodactyla" "Cephalophus ogilbyi" 18386.42 1000 0.07 1
"Artiodactyla" "Cephalophus rufilatus" 12114.57 650 NA 1
"Artiodactyla" "Cephalophus silvicultor" 62006.6 1324.76 NA 1
"Artiodactyla" "Cephalophus spadix" 56857.02 1174.48 NA NA
"Artiodactyla" "Cephalophus weynsi" NA NA NA NA
"Artiodactyla" "Cephalophus zebra" 15654.75 874.99 NA 1
"Cetacea" "Cephalorhynchus commersonii" 72400 NA NA 0.98
"Cetacea" "Cephalorhynchus eutropia" 45000 NA NA 0.97
"Cetacea" "Cephalorhynchus heavisidii" 39999.99 NA NA 0.97
"Cetacea" "Cephalorhynchus hectori" 49999.99 NA NA 1
"Perissodactyla" "Ceratotherium simum" 2285939.43 2586.81 19.09 1
"Diprotodontia" "Cercartetus caudatus" 23.05 97.97 NA 2.37
"Diprotodontia" "Cercartetus concinnus" 15.96 NA NA 4.6
"Diprotodontia" "Cercartetus lepidus" 8.03 NA NA 3.33
"Diprotodontia" "Cercartetus nanus" 26.85 NA 0.005564565 3.96
"Primates" "Cercocebus agilis" 7105.62 NA NA NA
"Primates" "Cercocebus atys" 6941.24 NA NA 1.01
"Primates" "Cercocebus chrysogaster" NA NA NA NA
"Primates" "Cercocebus galeritus" 7077.66 510 0.51 1.01
"Primates" "Cercocebus sanjei" NA NA NA NA
"Primates" "Cercocebus torquatus" 7293.07 660 NA 1.01
"Primates" "Cercopithecus albogularis" NA NA 0.13 1.02
"Primates" "Cercopithecus ascanius" 3540.24 444.99 0.16 1.01
"Primates" "Cercopithecus campbelli" 3627.73 455 0.01 1.02
"Primates" "Cercopithecus cephus" 3444.88 520 0.24 1.01
"Primates" "Cercopithecus denti" NA NA NA 1.02
"Primates" "Cercopithecus diana" 4358.91 470 1.25 1.01
"Primates" "Cercopithecus doggetti" NA NA NA NA
"Primates" "Cercopithecus dryas" 2784.06 NA NA 1.02
"Primates" "Cercopithecus erythrogaster" 3444.88 457.49 NA 1.02
"Primates" "Cercopithecus erythrotis" 3254.98 435 NA 1.02
"Primates" "Cercopithecus hamlyni" NA NA NA NA
"Primates" "Cercopithecus kandti" NA NA NA NA
"Primates" "Cercopithecus lhoesti" 5307.47 510 NA 1
"Primates" "Cercopithecus lowei" NA NA NA NA
"Primates" "Cercopithecus mitis" 5041.29 575 0.1 1
