version_event,source_id,quote_id,license_event,doi_event,crc_event,version_position,position_description,name_position,location_type,latitude,longitude,geometry,elevation,geonames_id,version_period,calendar,begin_year,begin_month_id,begin_month,begin_day_id,begin_day,begin_hour_id,begin_hour,begin_timestamp,end_year,end_month_id,end_month,end_day_id,end_day,end_hour_id,end_hour,end_timestamp,version_coding,codeset_id,codeset_description,category,path,node_id,node_label,scale_id,scale_label,value_id,value_label,value_index,average,variance,si_unit,si_average,si_variance
0,11790,250172,"not published",,140d60eb55613f487a225b97e3822870,0,,"Freiburg, Okenstraße",location,48.010424,7.858387,,,,0,gregorian,2017,1,january,15,15,13,noon,"2017-01-15 12:00:00",2017,1,january,15,15,15,"2 pm","2017-01-15 14:59:59",0,600521,cold,climate,climate/temperature,237,"temperature level",1,"temperature level",3,cool,-1,,,,,
0,11790,250177,"not published",,412502bef4c6bd882aeaa25538ea2d70,0,,"Freiburg, Okenstraße",location,48.010424,7.858387,,,,0,gregorian,2017,1,january,16,16,9,"8 am","2017-01-16 08:00:00",2017,1,january,16,16,11,"10 am","2017-01-16 10:59:59",0,600525,"Cold ",climate,climate/temperature,237,"temperature level",1,"temperature level",3,cool,-1,,,,,
0,11790,250189,"not published",,0b3391852fec818b3e15f321bbbe5711,0,,"Freiburg, Okenstraße",location,48.010424,7.858387,,,,0,gregorian,2017,1,january,17,17,18,"5 pm","2017-01-17 17:00:00",2017,1,january,17,17,20,"7 pm","2017-01-17 19:59:59",0,600537," No precipitation ",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",101,"no precipitation",0,,,,,
0,11790,250187,"not published",,70ff79b98a6df3fc22ed8c77b9ec09c1,0,,"Freiburg, Tennenbacher Straße",location,48.004898,7.849588,,,,0,gregorian,2017,1,january,17,17,13,noon,"2017-01-17 12:00:00",2017,1,january,17,17,15,"2 pm","2017-01-17 14:59:59",0,600534,"Cold ",climate,climate/temperature,237,"temperature level",1,"temperature level",3,cool,-1,,,,,
0,11790,250189,"not published",,c6cb2136a675e70bc1534798d81253d6,0,,"Freiburg, Okenstraße",location,48.010424,7.858387,,,,0,gregorian,2017,1,january,17,17,18,"5 pm","2017-01-17 17:00:00",2017,1,january,17,17,20,"7 pm","2017-01-17 19:59:59",0,600538,"Colder ",climate,climate/temperature,237,"temperature level",1,"temperature level",2,"normal temperature",0,,,,,
0,11790,250184,"not published",,d1d4fc97d3cc0ca773465a0b74c5090d,0,,"Freiburg, Okenstraße",location,48.010424,7.858387,,,,0,gregorian,2017,1,january,17,17,9,"8 am","2017-01-17 08:00:00",2017,1,january,17,17,11,"10 am","2017-01-17 10:59:59",0,600533,"No wind and rain",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",101,"no precipitation",0,,,,,
0,11790,250187,"not published",,df8613e69739cb3a69f21f6175bf8134,0,,"Freiburg, Tennenbacher Straße",location,48.004898,7.849588,,,,0,gregorian,2017,1,january,17,17,13,noon,"2017-01-17 12:00:00",2017,1,january,17,17,15,"2 pm","2017-01-17 14:59:59",0,600535,"with sunshine. Patches of cloudes on the sky.",climate,climate/clouds,153,"cloud cover",4,"cloud cover",34,"1/4: mostly sunny",1,,,n[],,
0,11790,250187,"not published",,f2e36039bd595960a139b4be63e0767b,0,,"Freiburg, Tennenbacher Straße",location,48.004898,7.849588,,,,0,gregorian,2017,1,january,17,17,13,noon,"2017-01-17 12:00:00",2017,1,january,17,17,15,"2 pm","2017-01-17 14:59:59",0,600536,dry,climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",101,"no precipitation",0,,,,,
0,11787,250203,"not published",,bb26961333b0c3cf858fdb65a11ec091,0,,"Freiburg, Vauban",location,47.976005,7.824701,,,,0,gregorian,2017,1,january,13,13,9,"8 am","2017-01-13 08:00:00",2017,1,january,13,13,11,"10 am","2017-01-13 10:59:59",0,600558,"Mostly cloudy ",climate,climate/clouds,153,"cloud cover",4,"cloud cover",35,"1/2: partly cloudy",2,,,n[],,
0,11781,250260,"not published",,960f46b3f4fc56397cac35a596285413,0,,"Freiburg, Sundgauallee 28",location,48.007392,7.81941,,,,0,gregorian,2017,1,january,13,13,9,"8 am","2017-01-13 08:00:00",2017,1,january,13,13,11,"10 am","2017-01-13 10:59:59",0,600556,"feels nice, fresh and not as cold as the 1degree Celsius indicated",climate,climate/temperature,237,"temperature level",1,"temperature level",3,cool,-1,,,,,
